Date,State Name,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-04,Uttarakhand,Mustard Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-04,Uttarakhand,Ladies Finger,37,43 - 47,44 - 61,1kg,N/A
2024-05-04,Uttarakhand,Pumpkin,20,23 - 25,24 - 33,1kg,N/A
2024-05-04,Uttarakhand,Radish,23,26 - 29,28 - 38,1kg,N/A
2024-05-04,Uttarakhand,Ridge Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-04,Uttarakhand,Shallot (Pearl Onion),31,36 - 39,37 - 51,1kg,N/A
2024-05-04,Uttarakhand,Snake Gourd,22,25 - 28,26 - 36,1kg,N/A
2024-05-04,Uttarakhand,Sorrel Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-04,Uttarakhand,Spinach,13,15 - 17,16 - 21,1kg,N/A
2024-05-04,Uttarakhand,Sweet Potato,39,45 - 50,47 - 64,1kg,N/A
2024-05-05,Uttarakhand,Onion Big,25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Uttarakhand,Onion Small,34,39 - 43,41 - 56,1kg,N/A
2024-05-05,Uttarakhand,Tomato,24,28 - 30,29 - 40,1kg,N/A
2024-05-05,Uttarakhand,Green Chilli,42,48 - 53,50 - 69,1kg,N/A
2024-05-05,Uttarakhand,Beetroot,38,44 - 48,46 - 63,1kg,N/A
2024-05-05,Uttarakhand,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-05,Uttarakhand,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-05,Uttarakhand,Amaranth Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-05,Uttarakhand,Amla,60,69 - 76,72 - 99,1kg,N/A
2024-05-05,Uttarakhand,Ash gourd,21,24 - 27,25 - 35,1kg,N/A
2024-05-05,Uttarakhand,Baby Corn,52,60 - 66,62 - 86,1kg,N/A
2024-05-05,Uttarakhand,Banana Flower,17,20 - 22,20 - 28,1kg,N/A
2024-05-05,Uttarakhand,Capsicum,40,46 - 51,48 - 66,1kg,N/A
2024-05-05,Uttarakhand,Bitter Gourd,33,38 - 42,40 - 54,1kg,N/A
2024-05-05,Uttarakhand,Bottle Gourd,25,29 - 32,30 - 41,1kg,N/A
2024-05-05,Uttarakhand,Butter Beans,48,55 - 61,58 - 79,1kg,N/A
2024-05-05,Uttarakhand,Broad Beans,26,30 - 33,31 - 43,1kg,N/A
2024-05-05,Uttarakhand,Cabbage,18,21 - 23,22 - 30,1kg,N/A
2024-05-05,Uttarakhand,Carrot,44,51 - 56,53 - 73,1kg,N/A
2024-05-05,Uttarakhand,Cauliflower,28,32 - 36,34 - 46,1kg,N/A
